"","reviewer_name","reviewer_date","reviewer_rating","review_context","review_title","id"
"1","masonsaul","","","","Stronger version",1
"2","dk777","","","","The Ultimate Edition",2
"3","panthersfreak","","","","Waaaaaaaaayy better than theatrical version",3
"4","Johntrek187","","","","Watch this one.",4
"5","jared-25331","","","","Watch the extended version! It's awesome!",5
"6","thenerdygamer","","","","Masterpiece",6
"7","matt_zxy","","","","Watch extended cuts!!",7
"8","joshey_kun19","","","","Theatrical was fine, but this is better",8
"9","jeetdutta-16586","","","","A modern Art.",9
"10","hunnysinghrattan","","","","Best Genre Defining CBM!!",10
"11","masonsaul","","","","Stronger version",11
"12","dk777","","","","The Ultimate Edition",12
"13","panthersfreak","","","","Waaaaaaaaayy better than theatrical version",13
"14","Johntrek187","","","","Watch this one.",14
"15","jared-25331","","","","Watch the extended version! It's awesome!",15
"16","thenerdygamer","","","","Masterpiece",16
"17","matt_zxy","","","","Watch extended cuts!!",17
"18","joshey_kun19","","","","Theatrical was fine, but this is better",18
"19","jeetdutta-16586","","","","A modern Art.",19
"20","hunnysinghrattan","","","","Best Genre Defining CBM!!",20
"21","masonsaul","","","","Stronger version",21
"22","dk777","","","","The Ultimate Edition",22
"23","panthersfreak","","","","Waaaaaaaaayy better than theatrical version",23
"24","Johntrek187","","","","Watch this one.",24
"25","jared-25331","","","","Watch the extended version! It's awesome!",25
"26","thenerdygamer","","","","Masterpiece",26
"27","matt_zxy","","","","Watch extended cuts!!",27
"28","joshey_kun19","","","","Theatrical was fine, but this is better",28
"29","jeetdutta-16586","","","","A modern Art.",29
"30","hunnysinghrattan","","","","Best Genre Defining CBM!!",30
"31","masonsaul","","","","Stronger version",31
"32","dk777","","","","The Ultimate Edition",32
"33","panthersfreak","","","","Waaaaaaaaayy better than theatrical version",33
"34","Johntrek187","","","","Watch this one.",34
"35","jared-25331","","","","Watch the extended version! It's awesome!",35
"36","thenerdygamer","","","","Masterpiece",36
"37","matt_zxy","","","","Watch extended cuts!!",37
"38","joshey_kun19","","","","Theatrical was fine, but this is better",38
"39","jeetdutta-16586","","","","A modern Art.",39
"40","hunnysinghrattan","","","","Best Genre Defining CBM!!",40
"41","masonsaul","","","","Stronger version",41
"42","dk777","","","","The Ultimate Edition",42
"43","panthersfreak","","","","Waaaaaaaaayy better than theatrical version",43
"44","Johntrek187","","","","Watch this one.",44
"45","jared-25331","","","","Watch the extended version! It's awesome!",45
"46","thenerdygamer","","","","Masterpiece",46
"47","matt_zxy","","","","Watch extended cuts!!",47
"48","joshey_kun19","","","","Theatrical was fine, but this is better",48
"49","jeetdutta-16586","","","","A modern Art.",49
"50","hunnysinghrattan","","","","Best Genre Defining CBM!!",50
"51","masonsaul","","","","Stronger version",51
"52","dk777","","","","The Ultimate Edition",52
"53","panthersfreak","","","","Waaaaaaaaayy better than theatrical version",53
"54","Johntrek187","","","","Watch this one.",54
"55","jared-25331","","","","Watch the extended version! It's awesome!",55
"56","thenerdygamer","","","","Masterpiece",56
"57","matt_zxy","","","","Watch extended cuts!!",57
"58","joshey_kun19","","","","Theatrical was fine, but this is better",58
"59","jeetdutta-16586","","","","A modern Art.",59
"60","hunnysinghrattan","","","","Best Genre Defining CBM!!",60
