"","title","author","subject","abstract","meta"
"1","Exploring Safety Generalization Challenges of Large Language Models via Code","Qibing Ren, Chang Gao, Jing Shao, Junchi Yan, Xin Tan, Wai Lam, Lizhuang Ma","Computation and Language (cs.CL)","The rapid advancement of Large Language Models (LLMs) has brought about remarkable capabilities in natural language processing but also raised concerns about their potential misuse. While strategies like supervised fine-tuning and reinforcement learning from human feedback have enhanced their safety, these methods primarily focus on natural languages, which may not generalize to other domains. This paper introduces CodeAttack, a framework that transforms natural language inputs into code inputs, presenting a novel environment for testing the safety generalization of LLMs. Our comprehensive studies on state-of-the-art LLMs including GPT-4, Claude-2, and Llama-2 series reveal a common safety vulnerability of these models against code input: CodeAttack consistently bypasses the safety guardrails of all models more than 80\% of the time. Furthermore, we find that a larger distribution gap between CodeAttack and natural language leads to weaker safety generalization, such as encoding natural language input with data structures or using less popular programming languages. These findings highlight new safety risks in the code domain and the need for more robust safety alignment algorithms to match the code capabilities of LLMs.","Tue, 12 Mar 2024 17:55:38 UTC (8,284 KB)"
"2","Programming droplet motion using metamaterials","Mohammad Charara, Zak Kujala, Sungyon Lee, Stefano Gonella","Fluid Dynamics (physics.flu-dyn)","Motion control of droplets has generated much attention for its applications to microfluidics, where precise control of small fluid volumes is an imperative requirement. Mechanical vibrations have been shown to be effective at inducing controllable depinning, and activation of different drop motion regimes. However, existing vibration-based strategies involve establishing homogeneous rigid-body dynamics on the substrate, and therefore lack any form of spatial heterogeneity and tuning. Addressing this limitation, metamaterials provide an ideal platform to achieve spectrally and spatially selective drop motion control, which leverages their ability to attenuate vibrations in selected frequency bands and in selected regions of a substrate. In this work, we illustrate the potential of metamaterials-based drop control by experimentally demonstrating a variety of drop motion capabilities on the surface of metaplates endowed with locally resonant stubs. The experiments leverage the design versatility of a LEGO component-enabled reconfigurable design platform and laser vibrometry measurements with high spatial resolution.","Tue, 12 Mar 2024 17:25:30 UTC (26,411 KB)"
"3","Augmenting Interpolation-Based Model Checking with Auxiliary Invariants (Extended Version)","Dirk Beyer, Po-Chun Chien, Nian-Ze Lee","Software Engineering (cs.SE)","Software model checking is a challenging problem, and generating relevant invariants is a key factor in proving the safety properties of a program. Program invariants can be obtained by various approaches, including lightweight procedures based on data-flow analysis and intensive techniques using Craig interpolation. Although data-flow analysis runs efficiently, it often produces invariants that are too weak to prove the properties. By contrast, interpolation-based approaches build strong invariants from interpolants, but they might not scale well due to expensive interpolation procedures. Invariants can also be injected into model-checking algorithms to assist the analysis. Invariant injection has been studied for many well-known approaches, including k-induction, predicate abstraction, and symbolic execution. We propose an augmented interpolation-based verification algorithm that injects external invariants into interpolation-based model checking (McMillan, 2003), a hardware model-checking algorithm recently adopted for software verification. The auxiliary invariants help prune unreachable states in Craig interpolants and confine the analysis to the reachable parts of a program. We implemented the proposed technique in the verification framework CPAchecker and evaluated it against mature SMT-based methods in CPAchecker as well as other state-of-the-art software verifiers. We found that injecting invariants reduces the number of interpolation queries needed to prove safety properties and improves the run-time efficiency. Consequently, the proposed invariant-injection approach verified difficult tasks that none of its plain version (i.e., without invariants), the invariant generator, or any compared tools could solve.","Tue, 12 Mar 2024 17:02:53 UTC (976 KB)"
"4","PROSKILL: A formal skill language for acting in robotics","Félix Ingrand (LAAS-CNRS, Université de Toulouse, Toulouse, France)","Robotics (cs.RO)","Acting is an important decisional function for autonomous robots. Acting relies on skills to implement and to model the activities it oversees: refinement, local recovery, temporal dispatching, external asynchronous events, and commands execution, all done online. While sitting between planning and the robotic platform, acting often relies on programming primitives and an interpreter which executes these skills. Following our experience in providing a formal framework to program the functional components of our robots, we propose a new language, to program the acting skills. This language maps unequivocally into a formal model which can then be used to check properties offline or execute the skills, or more precisely their formal equivalent, and perform runtime verification. We illustrate with a real example how we can program a survey mission for a drone in this new language, prove some formal properties on the program and directly execute the formal model on the drone to perform the mission.","Tue, 12 Mar 2024 15:56:53 UTC (3,571 KB)"
"5","FAUST XI: Enhancement of the complex organic material in the shocked matter surrounding the [BHB2007] 11 protobinary system","C. Vastel, T. Sakai, C. Ceccarelli, I. Jiménez-Serra, F. Alves, N. Balucani, E. Bianchi, M. Bouvier, P. Caselli, C. J. Chandler, S. Charnley, C. Codella, M. De Simone, F. Dulieu, L. Evans, F. Fontani, B. Lefloch, L. Loinard, F. Menard, L. Podio, G. Sabatini, N. Sakai, S. Yamamoto","Solar and Stellar Astrophysics (astro-ph.SR)","iCOMs are species commonly found in the interstellar medium. They are believed to be crucial seed species for the build-up of chemical complexity in star forming regions as well as our own Solar System. Thus, understanding how their abundances evolve during the star formation process and whether it enriches the emerging planetary system is of paramount importance. We use data from the ALMA Large Program FAUST to study the compact line emission towards the [BHB2007] 11 proto-binary system (sources A and B), where a complex structure of filaments connecting the two sources with a larger circumbinary disk has previously been detected. More than 45 CH3OCHO lines are clearly detected, as well as 8 CH3OCH3 transitions , 1 H2CCO transition and 4 t-HCOOH transitions. We compute the abundance ratios with respect to CH3OH for CH3OCHO, CH3OCH3, H2CCO, t-HCOOH (as well as an upper limit for CH3CHO) through a radiative transfer analysis. We also report the upper limits on the column densities of nitrogen bearing iCOMs, N(C2H5CN) and N(C2H3CN). The emission from the detected iCOMs and their precursors is compact and encompasses both protostars, which are separated by only 0.2"" (~ 28 au). The integrated intensities tend to align with the Southern filament, revealed by the high spatial resolution observations of the dust emission at 1.3 mm. A PV and 2D analysis are performed on the strongest and uncontaminated CH3OCH3 transition and show three different spatial and velocity regions, two of them being close to 11B (Southern filament) and the third one near 11A. All our observations suggest that the detected methanol, as well as the other iCOMs, are generated by the shocked gas from the incoming filaments streaming towards [BHB2007] 11A and 11B, respectively, making this source one of the few where chemical enrichment of the gas caused by the streaming material is observed.","Tue, 12 Mar 2024 15:44:12 UTC (4,306 KB)"
"6","Tightening big Ms in integer programming formulations for support vector machines with ramp loss","Marta Baldomero-Naranjo, Luisa I. Martínez-Merino, Antonio M. Rodríguez-Chía","Optimization and Control (math.OC)","This paper considers various models of support vector machines with ramp loss, these being an efficient and robust tool in supervised classification for the detection of outliers. The exact solution approaches for the resulting optimization problem are of high demand for large datasets. Hence, the goal of this paper is to develop algorithms that provide efficient methodologies to exactly solve these optimization problems. These approaches are based on three strategies for obtaining tightened values of the big M parameters included in the formulation of the problem. Two of them require solving a sequence of continuous problems, while the third uses the Lagrangian relaxation to tighten the bounds. The proposed resolution methods are valid for the l1-norm and l2-norm ramp loss formulations. They were tested and compared with existing solution methods in simulated and real-life datasets, showing the efficiency of the developed methodology.","Tue, 12 Mar 2024 15:13:40 UTC (37 KB)"
"7","A Framework for Controlling Multiple Industrial Robots using Mobile Applications","Daniela Alvarado, Dr. Seemal Asif","Robotics (cs.RO)","Purpose: Over the last few decades, the development of the hardware and software has enabled the application of advanced systems. In the robotics field, the UI design is an intriguing area to be explored due to the creation of devices with a wide range of functionalities in a reduced size. Moreover, the idea of using the same UI to control several systems arouses a great interest considering that this involves less learning effort and time for the users. Therefore, this paper will present a mobile application to control two industrial robots with four modes of operation. Design/methodology/approach: The smartphone was selected to be the interface due to its wide range of capabilities and the MIT Inventor App was used to create the application, whose environment is supported by Android smartphones. For the validation, ROS was used since it is a fundamental framework utilised in industrial robotics and the Arduino Uno was used to establish the data transmission between the smartphone and the board NVIDIA Jetson TX2. In MIT Inventor App, the graphical interface was created to visualize the options available in the app whereas two scripts in python were programmed to perform the simulations in ROS and carry out the tests. Findings: The results indicated that the use of the sliders to control the robots is more favourable than the Orientation Sensor due to the sensibility of the sensor and human limitations to hold the smartphone perfectly still. Another important finding was the limitations of the autonomous mode, in which the robot grabs an object. In this case, the configuration of the Kinect camera and the controllers has a significant impact on the success of the simulation. Finally, it was observed that the delay was appropriate despite the use of the Arduino UNO to transfer the data between the Smartphone and the Nvidia Jetson TX2.","Tue, 12 Mar 2024 13:23:40 UTC (940 KB)"
"8","Couler: Unified Machine Learning Workflow Optimization in Cloud","Xiaoda Wang, Yuan Tang, Tengda Guo, Bo Sang, Jingji Wu, Jian Sha, Ke Zhang, Jiang Qian, Mingjie Tang","Databases (cs.DB)","Machine Learning (ML) has become ubiquitous, fueling data-driven applications across various organizations. Contrary to the traditional perception of ML in research, ML workflows can be complex, resource-intensive, and time-consuming. Expanding an ML workflow to encompass a wider range of data infrastructure and data types may lead to larger workloads and increased deployment costs. Currently, numerous workflow engines are available (with over ten being widely recognized). This variety poses a challenge for end-users in terms of mastering different engine APIs. While efforts have primarily focused on optimizing ML Operations (MLOps) for a specific workflow engine, current methods largely overlook workflow optimization across different engines. In this work, we design and implement Couler, a system designed for unified ML workflow optimization in the cloud. Our main insight lies in the ability to generate an ML workflow using natural language (NL) descriptions. We integrate Large Language Models (LLMs) into workflow generation, and provide a unified programming interface for various workflow engines. This approach alleviates the need to understand various workflow engines' APIs. Moreover, Couler enhances workflow computation efficiency by introducing automated caching at multiple stages, enabling large workflow auto-parallelization and automatic hyperparameters tuning. These enhancements minimize redundant computational costs and improve fault tolerance during deep learning workflow training. Couler is extensively deployed in real-world production scenarios at Ant Group, handling approximately 22k workflows daily, and has successfully improved the CPU/Memory utilization by more than 15% and the workflow completion rate by around 17%.","Tue, 12 Mar 2024 12:47:32 UTC (1,012 KB)"
"9","On Weakly Contracting Dynamics for Convex Optimization","Veronica Centorrino, Alexander Davydov, Anand Gokhale, Giovanni Russo, Francesco Bullo","Optimization and Control (math.OC)","We investigate the convergence characteristics of dynamics that are \emph{globally weakly} and \emph{locally strongly contracting}. Such dynamics naturally arise in the context of convex optimization problems with a unique minimizer. We show that convergence to the equilibrium is \emph{linear-exponential}, in the sense that the distance between each solution and the equilibrium is upper bounded by a function that first decreases linearly and then exponentially. As we show, the linear-exponential dependency arises naturally in certain dynamics with saturations. Additionally, we provide a sufficient condition for local input-to-state stability. Finally, we illustrate our results on, and propose a conjecture for, continuous-time dynamical systems solving linear programs.","Tue, 12 Mar 2024 12:02:48 UTC (1,773 KB)"
"10","Energy versus Output Quality of Non-volatile Writes in Intermittent Computing","Rei Barjami, Antonio Miele, Luca Mottola","Systems and Control (eess.SY)","We explore how to improve the energy performance of battery-less Internet of Things (IoT) devices at the cost of a reduction in the quality of the output. Battery-less IoT devices are extremely resource-constrained energy-harvesting devices. Due to erratic energy patterns from the ambient, their executions become intermittent; periods of active computation are interleaved by periods of recharging small energy buffers. To cross periods of energy unavailability, a device persists application and system state onto Non-Volatile Memory (NVM) in anticipation of energy failures. We purposely control the energy invested in these operations, representing a major energy overhead, when using Spin-Transfer Torque Magnetic Random-Access Memory (STT-MRAM) as NVM. As a result, we abate the corresponding overhead, yet introduce write errors. Based on 1.9+ trillion experimental data points, we illustrate whether this is a gamble worth taking, when, and where. We measure the energy consumption and quality of output obtained from the execution of nine diverse benchmarks on top of seven different platforms. Our results allow us to draw three key observations: i) the trade-off between energy saving and reduction of output quality is program-specific; ii) the same trade-off is a function of a platform's specific compute efficiency and power figures; and iii) data encoding and input size impact a program's resilience to errors. As a paradigmatic example, we reveal cases where we achieve up to 50% reduction in energy consumption with negligible effects on output quality, as opposed to settings where a minimal energy gain causes drastic drops in output quality.","Tue, 12 Mar 2024 10:50:13 UTC (10,295 KB)"
